"","space","transit","access","house_rules","host_since","host_about","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","zipcode","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","is_business_travel_ready","reviews_per_month","occupancy_rate","EntirePlace","PrivateRoom","SharedRoom","Respond_WithinDay","Respond_WithinFewHours","Respond_WithinTheHour","Apartment","BedNBreakdast","Condominium","GuestSuite","House","Loft","Other","ServicedApartment","Townhouse","Bed_Couch","Bed_Futon","Bed_PullOutSofa","Bed_Bed","Cancel_Flexible","Cancel_Moderate","Cancel_Strict","hasTV","hasInternet","hasWifi","hasShampoo","hasHeat","hasAC","hasBreakfast","hasDesk","hasFireplace","hasIron","hasHairDryer","hasPrivateEnt","hasKitchen","isFamilyFriendly","square_meter","propertyPrice","IncomePerMonth"
"609","1","1","1","1","2011","1","0",3,"1",1,"75011",48.8540285895115,2.38312556043898,"2","1","1","2",484,110,250,50,"2",0,3,1125,13,98,10,10,10,10,10,10,"1","0",0.2,0.0693333333333333,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","1","1","0","0","1","0","1","1","0","1","0","155.11232","1265871.64352",228.8
"610","1","1","0","1","2012","1","0",1,"1",1,"75017",48.8851467790637,2.32045585539367,"5","1","3","5",1023,130,0,50,"4",0,3,49,24,95,9,8,9,9,9,9,"0","0",0.35,0.121333333333333,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","327.85104","2788045.24416",473.199999999999
"611","1","0","0","1","2014","1","0",1,"1",1,"75018",48.8878171963462,2.34797094473359,"3","1","1","1",409,74,200,20,"2",20,1,30,8,80,8,8,10,9,9,8,"0","0",0.13,0.0450666666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","1","0","131.07632","972586.2944",100.048
"612","1","1","1","1","2012","1","0",2,"1",1,"75014",48.8317916752132,2.3241331410176,"2","1","1","1",484,80,600,32,"1",28,1,2,47,90,9,9,10,10,9,9,"0","0",0.72,0.2496,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","0","155.11232","1297979.89376",599.04
"613","1","1","0","1","2013","1","1",1,"1",0,"75017",48.8785926017728,2.28859529064259,"4","1","2","3",786,119,0,50,"2",25,5,30,25,99,10,10,10,10,10,10,"0","0",0.37,0.128266666666667,"1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","1","0","0","1","0","1","1","0","1","1","251.89728","2142134.46912",457.912000000001
"615","1","1","1","1","2013","1","0",1,"1",0,"75011",48.8681664238332,2.37976017068331,"3","1","1","1",431,75,0,10,"3",10,3,1124,18,86,9,9,9,10,10,10,"1","0",1.66,0.575466666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","0","0","1","1","138.12688","1127253.46768",1294.8
"616","1","1","1","1","2013","1","0",1,"1",1,"75018",48.8928054302686,2.33793642608774,"4","1","2","3",441,80,300,0,"4",20,3,7,21,91,9,9,10,10,9,9,"0","0",0.31,0.107466666666667,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","141.33168","1048681.0656",257.920000000001
"617","1","1","1","1","2012","1","0",2,"1",0,"75007",48.8589475337089,2.3058778764614,"4","1","2","2",829,210,1000,100,"2",30,6,120,48,95,9,10,10,10,10,9,"0","0",0.72,0.2496,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","0","1","0","1","1","0","1","1","265.67792","3233565.96432",1572.48
"618","1","1","1","1","2013","1","1",1,"1",0,"75017",48.8933362819313,2.32712724563277,"4","1","2","2",592,155,90,68,"2",25,2,300,81,97,10,10,10,10,10,10,"0","0",1.24,0.429866666666667,"1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","1","0","189.72416","1613414.25664",1998.88
"620","1","0","0","0","2012","1","1",1,"1",0,"75010",48.8821831547586,2.35886644305153,"2","1","1","1",161,75,0,0,"2",6,3,1125,39,97,10,9,10,10,10,10,"0","0",1.03,0.357066666666667,"0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","51.59728","398227.80704",803.400000000001
"621","1","1","1","1","2013","1","0",1,"1",0,"75011",48.8587391444096,2.37745702958829,"2","1","1","1",194,40,150,8,"2",0,5,60,32,91,10,9,10,10,10,9,"0","0",0.48,0.1664,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","62.17312","507394.83232",199.68
"623","1","1","1","1","2013","1","0",1,"1",0,"75018",48.8845179675973,2.33871270078413,"5","1","2","4",807,115,500,30,"1",0,3,10,6,96,9,10,10,10,10,10,"0","0",0.09,0.0312,"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","1","258.62736","1919015.0112",107.64
